chart_version,output
11.1.1,"- docker.io/bitnami/elasticsearch:8.15.4
- docker.io/bitnami/os-shell:12-debian-12-r34
- docker.io/bitnami/postgresql:14.15.0-debian-12-r8
- docker.io/bitnami/postgresql:15.10.0-debian-12-r2
- docker.io/camunda/connectors-bundle:8.6.6
- docker.io/camunda/console:8.6.44
- docker.io/camunda/identity:8.6.7
- docker.io/camunda/keycloak:25.0.6
- docker.io/camunda/operate:8.6.7
- docker.io/camunda/optimize:8.6.4
- docker.io/camunda/tasklist:8.6.7
- docker.io/camunda/web-modeler-restapi:8.6.6
- docker.io/camunda/web-modeler-webapp:8.6.6
- docker.io/camunda/web-modeler-websockets:8.6.6
- docker.io/camunda/zeebe:8.6.7"
11.1.0,"- docker.io/bitnami/elasticsearch:8.15.4
- docker.io/bitnami/os-shell:12-debian-12-r33
- docker.io/bitnami/postgresql:14.15.0-debian-12-r2
- docker.io/bitnami/postgresql:15.10.0-debian-12-r2
- docker.io/camunda/connectors-bundle:8.6.5
- docker.io/camunda/console:8.6.36
- docker.io/camunda/identity:8.6.6
- docker.io/camunda/keycloak:25.0.6
- docker.io/camunda/operate:8.6.6
- docker.io/camunda/optimize:8.6.3
- docker.io/camunda/tasklist:8.6.6
- docker.io/camunda/web-modeler-restapi:8.6.4
- docker.io/camunda/web-modeler-webapp:8.6.4
- docker.io/camunda/web-modeler-websockets:8.6.4
- docker.io/camunda/zeebe:8.6.6"
11.0.4,"- docker.io/bitnami/elasticsearch:8.15.3
- docker.io/bitnami/os-shell:12-debian-12-r32
- docker.io/bitnami/postgresql:14.13.0-debian-12-r22
- docker.io/bitnami/postgresql:15.8.0-debian-12-r23
- docker.io/camunda/connectors-bundle:8.6.4
- docker.io/camunda/console:8.6.18
- docker.io/camunda/identity:8.6.4
- docker.io/camunda/keycloak:25.0.6
- docker.io/camunda/operate:8.6.5
- docker.io/camunda/optimize:8.6.2
- docker.io/camunda/tasklist:8.6.5
- docker.io/camunda/web-modeler-restapi:8.6.3
- docker.io/camunda/web-modeler-webapp:8.6.3
- docker.io/camunda/web-modeler-websockets:8.6.3
- docker.io/camunda/zeebe:8.6.5"
11.0.3,"- docker.io/bitnami/elasticsearch:8.15.3
- docker.io/bitnami/os-shell:12-debian-12-r32
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.6.4
- docker.io/camunda/console:8.6.16
- docker.io/camunda/identity:8.6.4
- docker.io/camunda/keycloak:25.0.6
- docker.io/camunda/operate:8.6.5
- docker.io/camunda/optimize:8.6.2
- docker.io/camunda/tasklist:8.6.5
- docker.io/camunda/web-modeler-restapi:8.6.3
- docker.io/camunda/web-modeler-webapp:8.6.3
- docker.io/camunda/web-modeler-websockets:8.6.3
- docker.io/camunda/zeebe:8.6.5"
11.0.2,"- docker.io/bitnami/elasticsearch:8.15.3
- docker.io/bitnami/os-shell:12-debian-12-r31
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.6.3
- docker.io/camunda/console:8.6.12
- docker.io/camunda/identity:8.6.2
- docker.io/camunda/keycloak:25.0.6
- docker.io/camunda/operate:8.6.4
- docker.io/camunda/optimize:8.6.1
- docker.io/camunda/tasklist:8.6.4
- docker.io/camunda/web-modeler-restapi:8.6.2
- docker.io/camunda/web-modeler-webapp:8.6.2
- docker.io/camunda/web-modeler-websockets:8.6.2
- docker.io/camunda/zeebe:8.6.4"
11.0.1,"- docker.io/bitnami/elasticsearch:8.15.2
- docker.io/bitnami/os-shell:12-debian-12-r31
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.6.2
- docker.io/camunda/console:8.6.7
- docker.io/camunda/identity:8.6.1
- docker.io/camunda/keycloak:25.0.6
- docker.io/camunda/operate:8.6.2
- docker.io/camunda/optimize:8.6.1
- docker.io/camunda/tasklist:8.6.2
- docker.io/camunda/web-modeler-restapi:8.6.2
- docker.io/camunda/web-modeler-webapp:8.6.2
- docker.io/camunda/web-modeler-websockets:8.6.2
- docker.io/camunda/zeebe:8.6.2"
11.0.0,"- docker.io/bitnami/elasticsearch:8.15.2
- docker.io/bitnami/os-shell:12-debian-12-r30
- docker.io/bitnami/postgresql:14.13.0
- docker.io/bitnami/postgresql:15.8.0
- docker.io/camunda/connectors-bundle:8.6.2
- docker.io/camunda/console:8.6.7
- docker.io/camunda/identity:8.6.0
- docker.io/camunda/keycloak:25.0.6
- docker.io/camunda/operate:8.6.0
- docker.io/camunda/optimize:8.6.0
- docker.io/camunda/tasklist:8.6.0
- docker.io/camunda/web-modeler-restapi:8.6.1
- docker.io/camunda/web-modeler-webapp:8.6.1
- docker.io/camunda/web-modeler-websockets:8.6.1
- docker.io/camunda/zeebe:8.6.0"
10.4.7,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.15.0-debian-12-r8
- docker.io/bitnami/postgresql:15.10.0-debian-12-r2
- docker.io/camunda/connectors-bundle:8.5.12
- docker.io/camunda/identity:8.5.11
- docker.io/camunda/operate:8.5.10
- docker.io/camunda/optimize:8.5.10
- docker.io/camunda/tasklist:8.5.11
- docker.io/camunda/zeebe:8.5.11
- registry.camunda.cloud/console/console-sm:8.5.113
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.14
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.14
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.14"
10.4.6,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.15.0-debian-12-r2
- docker.io/bitnami/postgresql:15.10.0-debian-12-r2
- docker.io/camunda/connectors-bundle:8.5.11
- docker.io/camunda/identity:8.5.10
- docker.io/camunda/operate:8.5.9
- docker.io/camunda/optimize:8.5.9
- docker.io/camunda/tasklist:8.5.10
- docker.io/camunda/zeebe:8.5.10
- registry.camunda.cloud/console/console-sm:8.5.113
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.12
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.12
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.12"
10.4.5,"- docker.io/bitnami/elasticsearch:8.12.2
- docker.io/bitnami/keycloak:23.0.7
- docker.io/bitnami/os-shell:12-debian-12-r18
- docker.io/bitnami/postgresql:14.13.0-debian-12-r22
- docker.io/bitnami/postgresql:15.8.0-debian-12-r23
- docker.io/camunda/connectors-bundle:8.5.10
- docker.io/camunda/identity:8.5.8
- docker.io/camunda/operate:8.5.8
- docker.io/camunda/optimize:8.5.8
- docker.io/camunda/tasklist:8.5.9
- docker.io/camunda/zeebe:8.5.9
- registry.camunda.cloud/console/console-sm:8.5.113
- registry.camunda.cloud/web-modeler-ee/modeler-restapi:8.5.11
- registry.camunda.cloud/web-modeler-ee/modeler-webapp:8.5.11
- registry.camunda.cloud/web-modeler-ee/modeler-websockets:8.5.11"
